Comment,Designator,Footprint,LCSC,Quantity
100n,"C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C26,C27,C28,C29,C3,C30,C31,C33,C35,C36,C37,C38,C39,C4,C40,C7,C8",C_0603_1608Metric,C14663,30
1u,C24,C_0603_1608Metric,C15849,1
47n,"C41,C42",C_0603_1608Metric,C1622,2
LM2990SX-12_NOPB,U2,C181451-TO-263-3L_L10.0-W9.2-P2.54-TL,C181451,1
OPA2227UA/2K5,"U5,U8",C19308-SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C19308,2
REF5050AIDGKR,U6,C194571-VSSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,C194571,1
22n,"C43,C44",C_0603_1608Metric,C21122,2
1k,"R11,R14,R15,R18,R28,R29,R30,R37,R42,R7",R_0603_1608Metric,C21190,10
1uH,"L3,L5",L_0603_1608Metric,C22037,2
OPA892,"U10,U4",C22396184-SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C22396184,2
20,"R3,R35",R_0603_1608Metric,C22950,2
2.2uH,"L1,L4",L_0603_1608Metric,C284875,2
2k,"R41,R6",R_0603_1608Metric,C2907137,2
10k,"R13,R17,R19,R21,R22,R26,R32,R39",R_0603_1608Metric,C2930027,8
ADE-1+,"X1,X2",C2942210-XFMR-SMD_6P-L7.9-W5.6-P2.54-LS7.0-BL,C2942210,2
22k,R45,C31850-R0603,C31850,1
10n,"C10,C32,C34,C9",C_0402_1005Metric,C3855387,4
OPA227UA/2K5,U7,C456278-SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C456278,1
Rf,"J10,J11,J12,J13,J5,J6,J7,J8",C492420-HDR-TH_6P-P2.54-V-M-R2-C3-S2.54,C492420,8
C5173368-9001-14641C00A,J9,C5173368-CONN-TH_WINGTAT_9001-14641C00A,C5173368,1
PWR,J18,C54907646-HDR-TH_3P-P2.54-H-M-W10.04_890-XX,C54907646,1
180/0.5W,"R1,R2,R25,R27",R_1206_3216Metric,C606183,4
20k,"RV1,RV2",C720648-RES-ADJ-SMD_TC33X-2-104E,C720648,2
22u,"C1,C2,C25,C5,C6",C7225-CAP-SMD_L7.3-W4.3-RD,C7225,5
50,"R10,R20,R23,R24,R34,R36,R4,R40,R44,R9",R_0603_1608Metric,C849792,10
500,"R33,R43,R5,R8",R_0603_1608Metric,C860931,4
5k,"R12,R16,R31,R38",R_0603_1608Metric,C862232,4
GALI-74+,"U3,U9",C879860-SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,C879860,2
100nH,"L2,L6",L_0603_1608Metric,C90214,2
PD_IN,"J1,J14,J15,J16,J17,J2,J3,J4",C914558-SMA-TH_SMA-KE-P903,C914558,8
LM2940CT-12_NOPB,U1,C9414-TO-220-3_L10.0-W4.5-P2.54-T,C9414,1
C965863-XL-1606UGC,LD1,C965863-LED-SMD_L1.7-W1.1-R-RD_ORANGE,C965863,1
