Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C7225-CAP-SMD_L7.3-W4.3-RD,182.15,-104.549039,0.0,top
C10,10n,C_0402_1005Metric,90.499999,-63.0,-90.0,top
C11,100n,C_0603_1608Metric,97.883233,-65.233176,0.0,top
C12,100n,C_0603_1608Metric,111.5,-140.6,-90.0,top
C13,100n,C_0603_1608Metric,97.285657,-90.269039,180.0,top
C14,100n,C_0603_1608Metric,97.3,-88.5,180.0,top
C15,100n,C_0603_1608Metric,92.0,-82.0,90.0,top
C16,100n,C_0603_1608Metric,89.0,-82.0,90.0,top
C17,100n,C_0603_1608Metric,129.5125,-89.999999,180.0,top
C18,100n,C_0603_1608Metric,129.54,-92.2,180.0,top
C19,100n,C_0603_1608Metric,118.227535,-83.172609,90.0,top
C2,22u,C7225-CAP-SMD_L7.3-W4.3-RD,184.2,-56.800962,180.0,top
C20,100n,C_0603_1608Metric,121.237535,-83.172609,90.0,top
C21,100n,C_0603_1608Metric,123.649568,-70.182071,90.0,top
C22,100n,C_0603_1608Metric,121.193296,-88.27263,-90.0,top
C23,100n,C_0603_1608Metric,111.5,-92.8,-90.0,top
C24,1u,C_0603_1608Metric,164.5,-114.0,0.0,top
C25,22u,C7225-CAP-SMD_L7.3-W4.3-RD,158.749949,-118.0,-90.0,top
C26,100n,C_0603_1608Metric,140.5,-120.5,0.0,top
C27,100n,C_0603_1608Metric,151.5,-115.25,-90.0,top
C28,100n,C_0603_1608Metric,118.247144,-131.198246,90.0,top
C29,100n,C_0603_1608Metric,129.6,-136.375,90.0,top
C3,100n,C_0603_1608Metric,182.85,-111.5,180.0,top
C30,100n,C_0603_1608Metric,121.257144,-131.198246,90.0,top
C31,100n,C_0603_1608Metric,132.6,-136.375,90.0,top
C32,10n,C_0402_1005Metric,68.019609,-106.025638,0.0,top
C33,100n,C_0603_1608Metric,121.212905,-136.298267,-90.0,top
C34,10n,C_0402_1005Metric,90.519608,-111.025637,-90.0,top
C35,100n,C_0603_1608Metric,97.902842,-113.258813,0.0,top
C36,100n,C_0603_1608Metric,123.669177,-118.207708,90.0,top
C37,100n,C_0603_1608Metric,92.019609,-130.025637,90.0,top
C38,100n,C_0603_1608Metric,97.699343,-136.070961,180.0,top
C39,100n,C_0603_1608Metric,96.5,-138.0,180.0,top
C4,100n,C_0603_1608Metric,168.3,-64.3,180.0,top
C40,100n,C_0603_1608Metric,89.019609,-130.025637,90.0,top
C41,47n,C_0603_1608Metric,106.9,-140.6,-90.0,top
C42,47n,C_0603_1608Metric,106.5,-92.8,-90.0,top
C43,22n,C_0603_1608Metric,100.0,-140.6,-90.0,top
